date,Total solar irradiance (W/m2),Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Air temperature  (°C) ,Atmosphere (hpa),Relative humidity (%),Power (MW)
2019/1/1 14:30,701,14,329,-6.4,924.9,29.1,30.97
2019/1/1 14:45,753,14,343,-5,924.6,26.7,32.98
2019/1/1 15:00,680,15,304,-5.2,924.3,25.6,30.03
2019/1/1 15:15,519,13,222,-5.5,924.2,26.6,27.34
2019/1/1 15:30,678,13,285,-5.7,924.1,27,31.53
2019/1/1 15:45,475,10,193,-4.9,923.9,26.6,23.2
2019/1/1 16:00,547,12,193,-5.4,924,26.7,24.12
2019/1/1 16:15,445,12,143,-5.3,923.9,26.4,19.04
2019/1/1 16:30,458,12,148,-5.5,924,26.7,20.12
2019/1/1 16:45,313,10,110,-5.5,924,26.5,11.2
2019/1/1 17:00,152,6,77,-5.9,923.9,26.9,5.64
2019/1/1 17:15,92,3,58,-6.4,924.2,28,3.34
2019/1/1 17:30,46,1,41,-6.8,924.6,29.1,1.59
2019/1/1 17:45,19,1,17,-7,924.9,29.5,0.36
2019/1/1 18:00,10,1,8,-7.3,925.1,30,0.03
2019/1/1 18:15,2,1,2,-7.6,925.1,31.9,0
2019/1/1 18:30,0,0,0,-7.9,925.1,33.7,0
2019/1/1 18:45,0,0,0,-7.9,925.2,34.1,0
2019/1/1 19:00,0,1,0,-7.9,925.3,33.7,0
2019/1/1 19:15,0,0,0,-8.4,925.2,34,0
2019/1/1 19:30,0,0,0,-8.1,925.3,34,0
2019/1/1 19:45,0,0,0,-8.2,925.3,34.3,0
2019/1/1 20:00,0,0,0,-8.3,925.4,34.6,0
2019/1/1 20:15,0,0,0,-8.2,925.4,34.4,0
2019/1/1 20:30,0,0,0,-8.6,925.3,35.2,0
2019/1/1 20:45,0,0,0,-8.4,925.2,34,0
2019/1/1 21:00,0,0,0,-8.3,925.2,33.7,0
2019/1/1 21:15,0,0,0,-8,925.2,33.7,0
2019/1/1 21:30,0,0,0,-7.8,925,33.1,0
2019/1/1 21:45,0,0,0,-8.1,924.9,34.3,0
2019/1/1 22:00,0,0,0,-8.1,924.7,34.3,0
2019/1/1 22:15,0,1,0,-8.5,924.6,35.1,0
2019/1/1 22:30,0,1,0,-8.9,924.4,36.1,0
2019/1/1 22:45,0,0,0,-8.8,924.3,37.7,0
2019/1/1 23:00,0,0,0,-8.2,924.3,37.7,0
2019/1/1 23:15,0,0,0,-8.3,924.3,36.6,0
2019/1/1 23:30,0,3,0,-10.7,924.2,39.3,0
2019/1/1 23:45,0,0,0,-9.5,924.1,38.9,0
2019/1/2 0:00,0,1,0,-9.9,924.1,38.7,0
2019/1/2 0:15,0,1,0,-10.9,924.2,39.7,0
2019/1/2 0:30,0,1,0,-11.2,924.3,39.8,0
2019/1/2 0:45,0,1,0,-11.2,924.3,40.6,0
2019/1/2 1:00,0,0,0,-11.5,924.3,43,0
2019/1/2 1:15,0,1,0,-11.5,924.3,42.5,0
2019/1/2 1:30,0,0,0,-11.6,924.3,42.8,0
2019/1/2 1:45,0,0,0,-11.5,924.3,41.9,0
2019/1/2 2:00,0,0,0,-11.9,924.3,42.1,0
2019/1/2 2:15,0,0,0,-11.9,924.3,42.1,0
2019/1/2 2:30,0,0,0,-12.1,924.2,42,0
2019/1/2 2:45,0,1,0,-12.5,924.2,42.9,0
2019/1/2 3:00,0,1,0,-12.9,924.1,45.4,0
2019/1/2 3:15,0,0,0,-13.1,924.1,45.4,0
2019/1/2 3:30,0,1,0,-13.1,924.2,46.6,0
2019/1/2 3:45,0,1,0,-13.7,924.1,47.5,0
2019/1/2 4:00,0,1,0,-13.6,924.3,47.1,0
2019/1/2 4:15,0,0,0,-13.3,924.3,47.8,0
2019/1/2 4:30,0,0,0,-13.5,924.1,48.2,0
2019/1/2 4:45,0,1,0,-13.5,924.1,47.9,0
2019/1/2 5:00,0,1,0,-14,924,48.8,0
2019/1/2 5:15,0,0,0,-13.9,924.2,48.9,0
2019/1/2 5:30,0,1,0,-14,924.2,49.6,0
2019/1/2 5:45,0,0,0,-14.4,924.1,49.7,0
2019/1/2 6:00,0,1,0,-14.6,924.2,49.9,0
2019/1/2 6:15,0,1,0,-14.9,924,51.6,0
2019/1/2 6:30,0,0,0,-14.5,924,51.1,0
2019/1/2 6:45,0,1,0,-14.6,924,50.4,0
2019/1/2 7:00,0,1,0,-14.4,923.9,50.1,0
2019/1/2 7:15,0,0,0,-14.6,923.7,50.7,0
2019/1/2 7:30,0,0,0,-14.1,923.7,50.6,0
2019/1/2 7:45,0,1,0,-14.2,923.8,49,0
2019/1/2 8:00,0,0,0,-13.9,923.9,49,0
2019/1/2 8:15,0,1,0,-14.2,924.1,48.8,0
2019/1/2 8:30,0,0,0,-14.5,924.1,50.3,0
2019/1/2 8:45,0,1,0,-14.4,924.7,50.5,0
2019/1/2 9:00,1,2,0,-16,924.7,51.3,0
2019/1/2 9:15,10,0,6,-16.1,925,54.4,0.16
2019/1/2 9:30,48,8,18,-16,925.4,54,1.04
2019/1/2 9:45,111,11,31,-14.7,925.3,52.5,2.52
2019/1/2 10:00,219,36,55,-14.8,925.2,51.3,4.53
2019/1/2 10:15,314,48,79,-14.8,925.1,50.1,7.78
2019/1/2 10:30,406,57,107,-14.1,924.8,49.8,13.99
2019/1/2 10:45,484,47,135,-13.2,924.5,47.5,19.14
2019/1/2 11:00,553,49,167,-11.8,924.1,43.2,22.66
2019/1/2 11:15,608,48,198,-11,923.8,40,25.57
2019/1/2 11:30,652,47,229,-10.4,923.6,35.2,28.09
2019/1/2 11:45,695,48,260,-11.6,923.3,37.7,30.29
2019/1/2 12:00,731,43,287,-10.8,923.4,36.9,32.27
2019/1/2 12:15,766,40,313,-10.7,923.5,36.3,33.95
2019/1/2 12:30,801,37,339,-11,923.4,37,35.4
2019/1/2 12:45,824,31,357,-10.7,923.4,36.6,36.5
2019/1/2 13:00,846,28,373,-10.5,923.5,36.7,37.4
2019/1/2 13:15,867,25,389,-10.4,923.4,36.2,38.1
2019/1/2 13:30,876,22,407,-9.9,923,35.5,38.33
2019/1/2 13:45,870,18,444,-8.7,922.8,33.5,38.36
2019/1/2 14:00,871,19,414,-9.4,922.5,34,38.2
2019/1/2 14:15,852,18,381,-9,922.3,33.1,37.72
2019/1/2 14:30,839,18,369,-8.6,922.2,32,36.7
2019/1/2 14:45,811,16,349,-8.2,922.2,31.1,35.59
2019/1/2 15:00,739,15,307,-8,922,30.5,34.24
2019/1/2 15:15,733,15,296,-8,922,30.4,33.63
2019/1/2 15:30,700,14,268,-7.1,922,29.9,31.97
2019/1/2 15:45,656,13,237,-6.8,922.1,29.1,29.89
2019/1/2 16:00,619,14,206,-7.1,922.2,29.7,27.2
2019/1/2 16:15,539,13,167,-7.3,922.5,29.5,23.46
2019/1/2 16:30,464,12,130,-7.5,923,30.5,18.09
2019/1/2 16:45,380,11,98,-7.6,923.2,31.3,14.28
2019/1/2 17:00,343,9,84,-7.7,923.5,31.3,10.19
2019/1/2 17:15,250,8,61,-7.9,923.5,31.9,5.61
2019/1/2 17:30,195,7,42,-8.2,923.7,31.7,3.56
2019/1/2 17:45,88,5,26,-8.1,923.8,32.7,1.63
2019/1/2 18:00,20,2,10,-8.5,923.8,32.6,0.25
2019/1/2 18:15,4,1,2,-8.9,924,33.4,0
2019/1/2 18:30,0,1,0,-9.5,924.1,34.6,0
2019/1/2 18:45,0,0,0,-9.7,924.4,35,0
2019/1/2 19:00,0,0,0,-9.7,924.6,34.5,0
2019/1/2 19:15,0,1,0,-9.8,924.8,34.2,0
2019/1/2 19:30,0,0,0,-10.2,924.8,35,0
2019/1/2 19:45,0,0,0,-10.2,925,35.3,0
2019/1/2 20:00,0,1,0,-10.3,925.2,35.8,0
2019/1/2 20:15,0,0,0,-10.2,925.4,35.4,0
2019/1/2 20:30,0,1,0,-10.4,925.7,35.3,0
2019/1/2 20:45,0,0,0,-10.3,925.7,35.8,0
2019/1/2 21:00,0,1,0,-10.8,925.9,36.8,0
2019/1/2 21:15,0,1,0,-11.2,926.2,37.5,0
2019/1/2 21:30,0,1,0,-11.4,926.1,37.7,0
2019/1/2 21:45,0,0,0,-11.2,926.3,38.3,0
2019/1/2 22:00,0,1,0,-11.1,926.5,38,0
2019/1/2 22:15,0,0,0,-11.2,926.5,38.6,0
2019/1/2 22:30,0,0,0,-11,926.5,38.2,0
2019/1/2 22:45,0,1,0,-11.7,926.4,38.5,0
2019/1/2 23:00,0,0,0,-11.9,926.2,39.5,0
2019/1/2 23:15,0,0,0,-11.5,926.1,39.8,0
2019/1/2 23:30,0,0,0,-11.7,926.2,39.9,0
2019/1/2 23:45,0,0,0,-11.6,926,39.1,0
2019/1/3 0:00,0,0,0,-11.5,926.1,40,0
2019/1/3 0:15,0,1,0,-12,926.1,40.5,0
2019/1/3 0:30,0,0,0,-11.9,926.1,41.3,0
2019/1/3 0:45,0,0,0,-11.6,926.2,40.7,0
2019/1/3 1:00,0,1,0,-11.7,926,40.5,0
2019/1/3 1:15,0,1,0,-12.5,926,40.7,0
2019/1/3 1:30,0,0,0,-12.6,926,41.9,0
2019/1/3 1:45,0,0,0,-12.3,926,41.5,0
2019/1/3 2:00,0,3,0,-14,926.1,42.4,0
2019/1/3 2:15,0,0,0,-14.5,926.3,45.8,0
2019/1/3 2:30,0,2,0,-14.6,926.2,45.6,0
2019/1/3 2:45,0,1,0,-14.7,926.4,46.7,0
2019/1/3 3:00,0,0,0,-14.9,926.5,47.3,0
2019/1/3 3:15,0,1,0,-14.6,926.6,48.1,0
2019/1/3 3:30,0,0,0,-14.4,926.7,47.6,0
2019/1/3 3:45,0,1,0,-14.7,926.7,46.8,0
2019/1/3 4:00,0,1,0,-15.1,926.9,47.9,0
2019/1/3 4:15,0,1,0,-15.5,926.9,49.2,0
2019/1/3 4:30,0,0,0,-15.6,927.1,49.5,0
2019/1/3 4:45,0,0,0,-15.8,927,51.1,0
2019/1/3 5:00,0,0,0,-15.8,927,50.8,0
2019/1/3 5:15,0,1,0,-16.1,927,51.5,0
2019/1/3 5:30,0,0,0,-16,926.9,51.6,0
2019/1/3 5:45,0,0,0,-15.6,927,51.9,0
2019/1/3 6:00,0,0,0,-15.8,927.1,51.1,0
2019/1/3 6:15,0,0,0,-15.5,927,52.1,0
2019/1/3 6:30,0,0,0,-15.3,927,52.3,0
2019/1/3 6:45,0,1,0,-15.5,927.1,51.2,0
2019/1/3 7:00,0,0,0,-15.8,927.2,52.2,0
2019/1/3 7:15,0,0,0,-15.5,927.4,52.3,0
2019/1/3 7:30,0,1,0,-15.8,927.5,51.4,0
2019/1/3 7:45,0,1,0,-16.3,927.6,52.8,0
2019/1/3 8:00,0,0,0,-16.2,927.7,53.4,0
2019/1/3 8:15,0,0,0,-15.5,928.1,52.5,0
2019/1/3 8:30,0,0,0,-15.4,928.3,51.9,0
2019/1/3 8:45,0,1,0,-15.6,928.4,51.8,0
2019/1/3 9:00,1,0,0,-15.9,928.7,52.7,0
2019/1/3 9:15,12,2,6,-16,929,52.7,0.18
2019/1/3 9:30,61,14,18,-16.2,929.3,54.1,1.04
2019/1/3 9:45,99,7,28,-16.1,929.5,53.8,2.63
2019/1/3 10:00,242,46,55,-15.9,929.7,53,4.85
2019/1/3 10:15,340,58,80,-15.3,929.8,52,8.25
2019/1/3 10:30,427,66,109,-15,929.7,50.4,14.66
2019/1/3 10:45,499,52,138,-14.2,929.4,48.6,19.49
2019/1/3 11:00,558,54,167,-13.6,929.5,46.9,22.91
2019/1/3 11:15,579,50,188,-12.7,929.3,46.1,25.52
2019/1/3 11:30,635,52,220,-11.6,929,42.6,27.76
2019/1/3 11:45,664,50,246,-10.8,928.9,40.3,28.62
2019/1/3 12:00,726,47,281,-9.9,928.7,37.9,32.2
2019/1/3 12:15,767,43,311,-9.3,928.7,38.2,33.49
2019/1/3 12:30,806,38,337,-8.8,928.3,37.4,35.18
2019/1/3 12:45,826,35,355,-8.3,928.3,36.4,36.3
2019/1/3 13:00,839,29,368,-7.8,928,35.8,36.78
2019/1/3 13:15,859,26,382,-7.3,927.8,34.7,37.27
2019/1/3 13:30,844,21,389,-6.6,927.5,34,37.28
2019/1/3 13:45,836,22,418,-5.8,927.4,31.1,36.9
2019/1/3 14:00,849,19,408,-5.8,927.2,32.5,37.86
2019/1/3 14:15,842,17,373,-6.5,927,34.4,37.75
2019/1/3 14:30,804,19,350,-7,927,35.9,36.49
2019/1/3 14:45,795,16,339,-6.9,926.8,35.6,36.19
2019/1/3 15:00,745,16,309,-6.6,926.9,34.7,35.12
2019/1/3 15:15,723,14,289,-6.7,926.8,35.4,33.59
2019/1/3 15:30,675,13,256,-6.5,926.8,35.5,31.49
2019/1/3 15:45,624,14,223,-6.3,926.8,34,28.56
2019/1/3 16:00,580,13,192,-6,926.7,33.1,25.59
2019/1/3 16:15,537,13,164,-6,926.9,33.4,23.14
2019/1/3 16:30,479,12,135,-6.1,927,33,19.97
2019/1/3 16:45,426,11,111,-6.3,927.1,33,15.98
2019/1/3 17:00,363,10,89,-6.2,927.2,32.1,11.06
2019/1/3 17:15,278,9,67,-6.4,927.5,32.7,6.18
2019/1/3 17:30,166,7,41,-6.8,927.5,33.9,3.14
2019/1/3 17:45,75,5,23,-7,927.6,34.6,1.48
2019/1/3 18:00,26,2,11,-7.6,928,35.4,0.39
2019/1/3 18:15,6,1,3,-7.8,928.3,35.6,0
2019/1/3 18:30,0,1,0,-8.5,928.5,36.5,0
2019/1/3 18:45,0,1,0,-8.9,929,38.5,0
2019/1/3 19:00,0,0,0,-9,929.2,39.7,0
2019/1/3 19:15,0,0,0,-9.2,929.4,39.8,0
2019/1/3 19:30,0,0,0,-9.2,929.5,40.1,0
2019/1/3 19:45,0,1,0,-9.1,929.6,40.1,0
2019/1/3 20:00,0,0,0,-9.1,929.8,40.6,0
2019/1/3 20:15,0,0,0,-9,929.7,40.8,0
2019/1/3 20:30,0,0,0,-8.9,929.8,40.7,0
2019/1/3 20:45,0,0,0,-9.1,929.8,40.8,0
2019/1/3 21:00,0,0,0,-9.3,929.7,41.4,0
2019/1/3 21:15,0,1,0,-9.7,929.7,41.8,0
2019/1/3 21:30,0,0,0,-9.4,929.8,42.9,0
2019/1/3 21:45,0,0,0,-9.7,929.8,43.3,0
2019/1/3 22:00,0,1,0,-10.2,929.9,42.8,0
2019/1/3 22:15,0,0,0,-10.4,929.7,44.4,0
2019/1/3 22:30,0,0,0,-10.7,929.7,44.7,0
2019/1/3 22:45,0,0,0,-9.3,929.7,42.3,0
2019/1/3 23:00,0,0,0,-9.3,929.5,42.2,0
2019/1/3 23:15,0,0,0,-9,929.3,41.4,0
2019/1/3 23:30,0,0,0,-9.5,929,42.3,0
2019/1/3 23:45,0,0,0,-9.4,928.9,42.5,0
2019/1/4 0:00,0,2,0,-10.7,928.7,43,0
2019/1/4 0:15,0,1,0,-11.3,928.7,46.6,0
2019/1/4 0:30,0,0,0,-10.9,928.7,46.2,0
2019/1/4 0:45,0,2,0,-12.1,928.7,46.9,0
2019/1/4 1:00,0,0,0,-11.5,928.6,48,0
2019/1/4 1:15,0,1,0,-12,928.7,48.7,0
2019/1/4 1:30,0,0,0,-12.3,928.5,49.1,0
2019/1/4 1:45,0,1,0,-12.7,928.5,49.3,0
2019/1/4 2:00,0,0,0,-12.2,928.5,49.4,0
2019/1/4 2:15,0,1,0,-12,928.4,49.6,0
2019/1/4 2:30,0,1,0,-12.4,928.4,50.7,0
2019/1/4 2:45,0,0,0,-12.1,928.3,51.3,0
2019/1/4 3:00,0,0,0,-12.2,928.4,52.8,0
2019/1/4 3:15,0,0,0,-11.8,928.2,53.5,0
2019/1/4 3:30,0,0,0,-11.2,928,54.6,0
2019/1/4 3:45,0,0,0,-10.3,928,54,0
2019/1/4 4:00,0,1,0,-11,927.8,54.1,0
2019/1/4 4:15,0,1,0,-11.5,927.7,55,0
2019/1/4 4:30,0,0,0,-11,927.6,56.1,0
2019/1/4 4:45,0,1,0,-11.5,927.2,55.9,0
2019/1/4 5:00,0,2,0,-13.4,927.2,58.5,0
2019/1/4 5:15,0,0,0,-13,927.2,59.1,0
2019/1/4 5:30,0,0,0,-12.5,927.4,58.2,0
2019/1/4 5:45,0,0,0,-12.4,927.2,58.4,0
2019/1/4 6:00,0,0,0,-12.5,927.2,59.2,0
2019/1/4 6:15,0,0,0,-12.5,927.1,59.1,0
2019/1/4 6:30,0,0,0,-12.9,927.1,60.3,0
2019/1/4 6:45,0,0,0,-12.8,927.1,60.1,0
2019/1/4 7:00,0,0,0,-12.7,927,60.3,0
2019/1/4 7:15,0,0,0,-12.4,926.8,60.2,0
2019/1/4 7:30,0,0,0,-12.5,926.9,60.5,0
2019/1/4 7:45,0,1,0,-12.2,926.9,59.8,0
2019/1/4 8:00,0,0,0,-10.9,926.8,59.8,0
2019/1/4 8:15,0,1,0,-11.9,926.8,57.8,0
2019/1/4 8:30,0,0,0,-12.1,926.8,59.6,0
2019/1/4 8:45,0,0,0,-12.4,926.9,59.7,0
2019/1/4 9:00,3,0,1,-11.4,926.9,59.1,0
2019/1/4 9:15,16,4,9,-12.8,927.1,57.6,0.39
2019/1/4 9:30,71,14,27,-13.9,927.3,61.8,1.48
2019/1/4 9:45,77,6,36,-13.5,927.4,61.5,2.87
2019/1/4 10:00,245,49,60,-12.7,927.4,60.7,4.92
2019/1/4 10:15,344,62,84,-12.6,927.5,60.4,8.35
2019/1/4 10:30,420,67,112,-11.9,927.4,58.5,14.86
2019/1/4 10:45,476,51,147,-11.1,927.1,55.9,19.18
2019/1/4 11:00,425,39,153,-10.4,926.8,54.2,17.9
2019/1/4 11:15,510,41,192,-9.6,926.5,52.7,21.07
2019/1/4 11:30,574,42,236,-8.1,926.3,49.3,23.87
2019/1/4 11:45,484,29,216,-6.5,925.9,46.2,18.88
2019/1/4 12:00,335,15,175,-6.4,925.5,43.3,15.46
2019/1/4 12:15,242,6,164,-5.8,925.6,40.9,12.02
2019/1/4 12:30,253,6,180,-5.9,925.1,40.7,13.4
2019/1/4 12:45,412,16,236,-6.3,924.9,42.4,21.8
2019/1/4 13:00,450,14,255,-6.1,924.8,42.5,20.13
2019/1/4 13:15,314,9,211,-6.2,924.6,41.5,15.09
2019/1/4 13:30,270,6,203,-6.3,924.5,41.5,13.64
2019/1/4 13:45,361,10,234,-6.3,924.4,40.9,17.08
2019/1/4 14:00,382,10,232,-6.3,924.5,41,18.25
2019/1/4 14:15,705,14,368,-5.9,924.3,41,30.13
2019/1/4 14:30,498,14,239,-5.8,923.7,40.7,25.82
2019/1/4 14:45,712,17,318,-5.6,923.5,39.7,34.5
2019/1/4 15:00,601,19,270,-6,923.5,39.3,20.5
2019/1/4 15:15,312,5,198,-6.2,923.4,40.4,11.88
2019/1/4 15:30,256,3,182,-6.3,923.5,39.9,14.02
2019/1/4 15:45,530,10,258,-5.7,923.5,38.9,22.47
2019/1/4 16:00,599,12,229,-4.1,923,36.1,25.91
2019/1/4 16:15,549,15,176,-4.6,922.9,34.8,23.82
2019/1/4 16:30,489,13,142,-4.8,922.7,35.9,20.29
2019/1/4 16:45,391,11,102,-4.1,922.5,34.7,15.02
2019/1/4 17:00,323,11,81,-4.1,922.1,33.6,10.1
2019/1/4 17:15,237,9,62,-4.4,922.2,34.2,5.91
2019/1/4 17:30,139,7,40,-4.7,922.2,35,3.34
2019/1/4 17:45,66,4,24,-4.7,922,35.6,1.7
2019/1/4 18:00,24,2,12,-5,922.1,36,0.48
2019/1/4 18:15,3,1,2,-5.6,922.2,37.2,0
2019/1/4 18:30,0,0,0,-6,922.3,38.6,0
2019/1/4 18:45,0,1,0,-6.6,922.2,39.8,0
2019/1/4 19:00,0,1,0,-7.7,922.2,41.9,0
2019/1/4 19:15,0,0,0,-7.7,922.2,43,0
2019/1/4 19:30,0,0,0,-7.3,922.5,42.5,0
2019/1/4 19:45,0,1,0,-7.8,922.3,42.2,0
2019/1/4 20:00,0,0,0,-8.2,922.1,43.5,0
2019/1/4 20:15,0,0,0,-7.6,921.7,43,0
2019/1/4 20:30,0,0,0,-7.5,921.5,43.2,0
2019/1/4 20:45,0,0,0,-7.6,921.1,43.2,0
2019/1/4 21:00,0,1,0,-7.5,920.9,43.6,0
2019/1/4 21:15,0,1,0,-7.7,920.7,42.5,0
2019/1/4 21:30,0,1,0,-8.6,920.4,45,0
2019/1/4 21:45,0,1,0,-8.9,920.1,47.3,0
2019/1/4 22:00,0,0,0,-8.3,919.9,47.2,0
2019/1/4 22:15,0,0,0,-7.9,919.8,45.1,0
2019/1/4 22:30,0,0,0,-6.9,919.4,42.2,0
2019/1/4 22:45,0,0,0,-6.8,918.9,42.9,0
2019/1/4 23:00,0,2,0,-8.7,918.7,45.7,0
2019/1/4 23:15,0,0,0,-9.3,918.6,49.7,0
2019/1/4 23:30,0,1,0,-9.4,918.5,49.7,0
2019/1/4 23:45,0,0,0,-8.8,918.4,49.1,0
2019/1/5 0:00,0,1,0,-10,918.1,50.7,0
2019/1/5 0:15,0,0,0,-9.9,918,51.3,0
2019/1/5 0:30,0,1,0,-10.1,917.9,51.9,0
2019/1/5 0:45,0,0,0,-10.1,917.6,52,0
2019/1/5 1:00,0,0,0,-9.9,917.4,52.4,0
2019/1/5 1:15,0,0,0,-9.8,916.9,52.4,0
2019/1/5 1:30,0,0,0,-9.7,916.4,51.4,0
2019/1/5 1:45,0,0,0,-8.2,916.2,48.4,0
2019/1/5 2:00,0,0,0,-8.7,915.8,49.3,0
2019/1/5 2:15,0,1,0,-8,915.9,47.6,0
2019/1/5 2:30,0,2,0,-10.6,915.7,53,0
2019/1/5 2:45,0,0,0,-9.8,915.7,53.7,0
2019/1/5 3:00,0,0,0,-8.4,915.7,50.6,0
2019/1/5 3:15,0,2,0,-10.3,915.9,52.1,0
2019/1/5 3:30,0,1,0,-11.5,916,56.1,0
2019/1/5 3:45,0,0,0,-11.5,916,56.9,0
2019/1/5 4:00,0,1,0,-11.7,916,57.3,0
2019/1/5 4:15,0,0,0,-11.5,915.9,57.6,0
2019/1/5 4:30,0,0,0,-11.5,916,58.2,0
2019/1/5 4:45,0,0,0,-11.6,915.7,58.7,0
2019/1/5 5:00,0,0,0,-11.2,915.4,58.1,0
2019/1/5 5:15,0,0,0,-10.7,915.3,56.9,0
2019/1/5 5:30,0,0,0,-10.6,915.2,56.6,0
2019/1/5 5:45,0,1,0,-11,915.2,56.6,0
2019/1/5 6:00,0,1,0,-11.8,915.3,57.6,0
2019/1/5 6:15,0,0,0,-12,915.6,59.9,0
2019/1/5 6:30,0,0,0,-11.4,915.8,58.3,0
2019/1/5 6:45,0,1,0,-12.3,915.6,60.1,0
2019/1/5 7:00,0,2,0,-13.5,915.9,61.6,0
2019/1/5 7:15,0,0,0,-12.4,916.1,61.2,0
2019/1/5 7:30,0,0,0,-12,916.4,60.3,0
2019/1/5 7:45,0,0,0,-12.9,916.5,59.9,0
2019/1/5 8:00,0,0,0,-13.4,916.5,61.9,0
2019/1/5 8:15,0,0,0,-12.9,916.6,61.7,0
2019/1/5 8:30,0,0,0,-12.2,916.9,61.7,0
2019/1/5 8:45,0,0,0,-11.7,917.3,60.6,0
2019/1/5 9:00,0,1,0,-12.2,917.6,57.8,0
2019/1/5 9:15,5,1,3,-12.4,917.9,59.3,0.1
2019/1/5 9:30,28,3,15,-14.4,918.3,61.5,0.82
2019/1/5 9:45,61,6,26,-13.6,918.9,62.1,1.93
2019/1/5 10:00,85,11,33,-12.8,919,61.7,3.02
2019/1/5 10:15,251,47,61,-11.9,919.3,59.8,7.35
2019/1/5 10:30,356,63,84,-11.3,919.5,56.9,12.56
2019/1/5 10:45,484,62,121,-11.8,919,56.5,19.09
2019/1/5 11:00,547,63,147,-10.8,919,54.8,22.6
2019/1/5 11:15,605,66,176,-10.2,919,50.3,25.58
2019/1/5 11:30,660,66,209,-11,918.9,50.1,27.99
